tank,FLUCT,pred,COMP,Cer_ug,Dapp_ug,Sca_ug,Clad_ug,e_chl,i_chl,cop_ug
9,150,,CERSCA,105.7829703,,14.93199526,,15.46,1.25,
9,150,,CERSCA,125.4885269,,45.32483127,,39.3,1.27,
9,150,,CERSCA,78.46326431,,7.929396172,,56.1,3.27,
9,150,,CERSCA,107.9403158,,10.9245654,,45.02,2.42,
9,150,,CERSCA,84.60959543,,17.56147601,,50.67,0.31,
9,150,,CERSCA,59.62924119,,22.60565951,,56.6,3.52,
9,150,,CERSCA,46.89959725,,27.2309541,,44.23,2.55,
9,150,,CERSCA,128.3175563,,20.85267235,,58.96,13.47,
9,150,,CERSCA,209.5200619,,6.23316513,,8.76,47.99,
23,150,,CERSCA,0.045,,5.520487292,,213.7,6.13,
23,150,,CERSCA,0.045,,7.159962211,,257.97,12.92,
23,150,,CERSCA,0.045,,81.90566405,,286.66,10.76,
23,150,,CERSCA,0.410633676,,173.1858346,,59.96,0.9,
23,150,,CERSCA,0.045,,205.3870964,,53.58,0.005,
23,150,,CERSCA,0.045,,269.0982763,,32.3,0.92,
23,150,,CERSCA,4.362527193,,953.8104211,,35.18,0.27,
23,150,,CERSCA,61.00119648,,2262.916771,,35.18,0.27,
23,150,,CERSCA,29.22015826,,45.09135416,,26.45,3,
23,150,,CERSCA,608.345131,,72.41290695,,1.18,0.1,
23,150,,CERSCA,0.045,,0.0284,,1.1,0.29,
23,150,,CERSCA,154.2401739,,41.61764295,,1.81,0.5,
23,150,,CERSCA,94.82395624,,30.06520452,,1.94,0.18,
23,150,,CERSCA,354.2341873,,10.22768975,,2,0.56,
23,150,,CERSCA,180.1088805,,24.4154028,,2.58,0.9,
23,150,,CERSCA,152.1809307,,38.18646513,,9.95,5.66,
23,150,,CERSCA,95.3099891,,24.4154028,,26.79,1.32,
23,150,,CERSCA,227.2729824,,22.72562438,,41.36,329.46,
23,150,,CERSCA,314.5235262,,32.33544941,,41.66,5.39,
23,150,,CERSCA,259.972878,,53.25067176,,57.25,3.56,
23,150,,CERSCA,108.6400749,,52.6299101,,50.31,0.92,
23,150,,CERSCA,113.9980737,,36.71436163,,60.56,4.23,
23,150,,CERSCA,71.01084794,,13.34572078,,68.95,1.86,
23,150,,CERSCA,72.69827671,,15.32573243,,76.03,16.44,
23,150,,CERSCA,9.110555002,,7.468894572,,76.53,6.83,
23,150,,CERSCA,8.571826108,,2.922610919,,43,3.65,
63,150,,CERSCA,0.134682224,,17.21093097,,144.15,3.59,
63,150,,CERSCA,0.045,,0.97420364,,140.33,33.24,
63,150,,CERSCA,0.045,,995.0124613,,36.56,0.005,
63,150,,CERSCA,0.045,,775.6678504,,1.23,0.61,
63,150,,CERSCA,3.285069405,,547.1795601,,0.83,0.05,
63,150,,CERSCA,0.045,,733.6409225,,1.22,0.06,
63,150,,CERSCA,3.285069405,,601.5906408,,0.97,0.11,
63,150,,CERSCA,0.045,,427.568735,,0.97,0.11,
63,150,,CERSCA,28.07631822,,256.3849049,,3.51,0.61,
63,150,,CERSCA,124.5594375,,321.4171506,,1.76,0.71,
63,150,,CERSCA,52.60408684,,132.089267,,5.72,6.25,
63,150,,CERSCA,178.6722701,,82.9076544,,2.97,0.42,
63,150,,CERSCA,259.4150909,,53.11846039,,1.69,0.12,
63,150,,CERSCA,282.6116412,,84.74702584,,1.63,0.18,
63,150,,CERSCA,204.6990648,,0.0284,,1.8,1.03,
63,150,,CERSCA,562.0338854,,86.21241473,,1.91,0.46,
63,150,,CERSCA,441.1089502,,87.2701057,,3.11,0.42,
63,150,,CERSCA,303.3468194,,59.07271807,,2.42,0.38,
63,150,,CERSCA,587.0886144,,89.08630161,,3.76,1.01,
63,150,,CERSCA,642.970862,,214.8820917,,3.08,0.07,
63,150,,CERSCA,391.769469,,132.366595,,3.69,0.2,
63,150,,CERSCA,984.2013716,,112.516175,,8.19,1.1,
63,150,,CERSCA,1135.769389,,113.6138992,,22.88,1.96,
63,150,,CERSCA,1171.67288,,113.5506904,,36.49,2.42,
63,150,,CERSCA,602.8937585,,150.205399,,62.52,0.46,
63,150,,CERSCA,144.8944044,,60.76986983,,68.5,9.73,
85,150,,CERSCA,0.045,,195.1561129,,156.51,34.77,
85,150,,CERSCA,0.045,,549.5340782,,151.45,2.76,
85,150,,CERSCA,0.045,,1570.345693,,5.8,0.32,
85,150,,CERSCA,0.045,,766.5236621,,2.29,0.005,
85,150,,CERSCA,0.045,,19.62629247,,1.95,0.005,
85,150,,CERSCA,1.231901027,,8.36119034,,7.82,1.36,
85,150,,CERSCA,2.27763875,,11.06968202,,71.46,18.17,
85,150,,CERSCA,7.082519684,,279.0641782,,71.46,18.17,
85,150,,CERSCA,145.6440486,,374.0014956,,1.37,0.21,
85,150,,CERSCA,65.33251582,,125.1057638,,4.29,0.29,
85,150,,CERSCA,94.69707598,,96.60392023,,30.67,16.94,
85,150,,CERSCA,230.1559228,,124.3988799,,1.19,0.42,
85,150,,CERSCA,130.1672303,,158.5737007,,1.77,0.81,
85,150,,CERSCA,373.2526465,,81.74672147,,1.26,1.05,
85,150,,CERSCA,232.1000542,,96.75351324,,1.67,0.11,
85,150,,CERSCA,384.5541848,,41.08879746,,6.24,0.005,
85,150,,CERSCA,289.7849734,,69.99306905,,3.31,1.68,
85,150,,CERSCA,322.2238189,,52.13556593,,6.27,0.51,
85,150,,CERSCA,1765.029275,,164.6543759,,3.46,0.31,
85,150,,CERSCA,425.9933333,,58.90047348,,2.29,0.81,
85,150,,CERSCA,472.8080022,,102.3645992,,2.95,0.33,
85,150,,CERSCA,774.4166145,,122.1892088,,4.91,0.21,
85,150,,CERSCA,521.8458867,,97.30105785,,7.12,0.78,
85,150,,CERSCA,278.8190507,,120.4807312,,12.67,1.92,
85,150,,CERSCA,286.2929553,,57.87886328,,29.57,1,
85,150,,CERSCA,605.9694493,,54.87724143,,33.77,5.85,
11,150,,CER,0.022447037,,,,68.19,10.31,
11,150,,CER,0.022447037,,,,106.94,0.005,
11,150,,CER,0.022447037,,,,269.96,27.46,
11,150,,CER,0.022447037,,,,101.03,3.14,
11,150,,CER,0.410633676,,,,96.96,15.56,
11,150,,CER,0.45552775,,,,104.64,4.18,
11,150,,CER,0.022447037,,,,87.06,8.55,
11,150,,CER,0.45552775,,,,87.06,8.55,
11,150,,CER,0.022447037,,,,20.21,1.69,
11,150,,CER,0.022447037,,,,26.31,3.03,
11,150,,CER,0.022447037,,,,22.63,8.92,
11,150,,CER,1.687428777,,,,28.63,3.29,
11,150,,CER,2.964223878,,,,19.97,11.29,
11,150,,CER,3.644222001,,,,20.28,2.06,
11,150,,CER,4.086575741,,,,30.35,0.005,
11,150,,CER,8.565239103,,,,36.51,1.48,
11,150,,CER,5.196968554,,,,55.64,5.53,
11,150,,CER,16.96407592,,,,52.26,9.65,
11,150,,CER,2.046581373,,,,54.29,6.12,
11,150,,CER,0.022447037,,,,50.24,4.55,
11,150,,CER,0.022447037,,,,43.74,1.15,
11,150,,CER,0.821267351,,,,49.06,22.91,
11,150,,CER,0.179576298,,,,34.99,2.38,
11,150,,CER,0.044894075,,,,25.41,1.1,
11,150,,CER,0.022447037,,,,198.29,47.38,
11,150,,CER,0.134682224,,,,25.99,0.15,
51,150,,CER,0.022447037,,,,115.95,3.36,
51,150,,CER,0.022447037,,,,138.38,39.71,
51,150,,CER,0.022447037,,,,271.51,12.94,
51,150,,CER,0.022447037,,,,69.35,6.68,
51,150,,CER,0.022447037,,,,117.11,13.1,
51,150,,CER,1.000843649,,,,38.55,3.95,
51,150,,CER,4.196124905,,,,89.35,0.08,
51,150,,CER,1.231901027,,,,89.35,0.08,
