TANK,Cer_ug,Sca_ug,Dapp_ug,Clad_ug,e_chl,i_chl
8,0.022,3.896814559,0.903,0.717721854,83.26,3.13
8,0.866161426,6.891983787,0.903,1.167569579,69.25,0.005
8,1.777216926,63.45676544,0.903,1.628923415,87.63,6.09
8,23.50786671,774.5806509,29.2621571,38.78531638,3.47,0.55
8,108.3904715,4.618841961,63.58570155,135.8721122,0.99,0.005
8,113.7060061,10.07322357,45.00787325,78.42494782,1.03,0.13
8,112.6854014,31.68598031,53.87290786,62.44404659,0.83,0.005
8,134.9547801,53.42739275,53.73717732,102.2998062,0.83,0.005
8,254.7124694,46.7372817,153.4883101,811.8304324,1.32,0.07
8,154.8579468,94.26783163,267.0106701,309.3902382,1.35,0.09
8,0.022,0.0284,0.903,0.0339,1.01,0.32
8,125.5509426,90.59804156,449.054061,475.9147502,1.04,0.04
8,66.41969328,71.504809,215.6099298,246.6014597,1.18,0.01
8,19.68406841,31.52795845,49.28065068,169.8470527,1.11,0.06
8,21.12067879,22.82623138,31.86297815,165.0913075,1.31,0.12
8,39.60040915,18.29864685,0.903,96.66589318,1.1,0.12
8,20.42872162,20.00133052,0.903,58.84732145,1.57,0.15
8,28.10266624,11.91746817,17.41767253,265.5042505,2.43,0.005
8,71.88602628,34.6804908,76.15025121,221.9920236,1.86,0.25
8,39.47768598,31.57826195,2.362981998,320.5879675,2.22,0.005
8,63.21123802,35.13453978,0.903,318.3035556,2.07,0.35
8,89.81142382,40.81594587,19.91436134,506.9776529,1.72,0.11
8,53.86841068,40.50701351,10.83397921,314.3215787,1.78,0.11
8,67.82995565,49.48606857,5.097509861,228.8883497,1.64,0.18
8,84.80720557,53.21906739,75.94198674,268.6179511,2.22,0.13
8,79.44261977,31.65727288,19.17126962,94.81976681,2.28,0.8
15,0.022,12.01517822,0.903,0.478481236,133.18,23.6
15,0.022,7.727523433,3.611326405,3.764836668,99.71,5.32
15,0.45552775,22.5331012,0.903,0.153510263,138.93,25.8
15,0.022,208.1403597,11.94861681,12.97738106,89.53,1.52
15,9.393093459,231.0743094,54.84227492,79.42268821,1.66,0.11
15,23.16188812,57.27074489,107.418756,205.7418429,0.98,0.3
15,41.1399817,234.5428855,115.5032958,144.9945378,0.81,0.05
15,59.13124928,154.0447987,414.3370143,418.2956724,0.81,0.05
15,40.87061725,83.42227716,132.2370258,134.6799153,1.24,0.1
15,42.87889155,63.17588177,186.2616482,239.5433736,1.22,0.04
15,0.022,0.0284,0.903,0.0339,1.08,0.14
15,56.56448507,68.90693262,408.2739821,470.5452943,1.16,0.07
15,18.24745802,15.196418,164.1000039,254.2948274,1.29,0.005
