TANK,FLUCT,Sca_ug,Dapp_ug,Clad_ug,e_chl,i_chl
12,150,9.79879252,0.903,0.0339,90.2,0.005
12,150,65.45837316,20.79115989,0.067779909,65.29,1.95
12,150,251.9427839,120.519165,0.203339726,97.99,6
12,150,640.7326028,91.10205191,0.0339,3.62,0.005
12,150,3.587882199,141.9197098,0.203339726,1.91,0.59
12,150,12.96133317,131.8654799,0.067779909,1.99,0.85
12,150,0.028378061,0.903,0.0339,1.44,0.005
12,150,35.73370537,206.7827952,0.0339,1.44,0.005
12,150,90.82506605,199.3068948,0.0339,1.68,0.37
12,150,51.95752746,487.5148986,0.0339,1.98,0.11
12,150,82.31296521,388.8352989,0.0339,1.46,0.25
12,150,47.56926567,244.6638224,0.0339,1.99,0.005
12,150,37.94074151,145.1369988,0.0339,2.57,0.005
12,150,27.24030366,124.1529829,0.0339,2.03,0.2
12,150,41.91946394,171.2043584,0.271119635,2.45,0.04
12,150,68.25166965,587.829797,0.135559817,3.01,0.23
12,150,40.22968552,351.5624142,0.29956017,2.97,0.29
12,150,15.196418,489.7441738,0.0339,3.18,1.99
12,150,34.80690829,619.7519243,0.271119635,3.55,0.87
12,150,45.6050562,371.1868704,1.287818264,3.11,0.36
12,150,22.71271913,718.4765071,1.49115799,2.78,0.43
12,150,20.6666018,419.6652801,2.439609435,2.43,0.49
12,150,29.37478149,339.0564786,0.542239269,2.4,0.82
12,150,24.48150848,420.8982161,1.084478538,2.3,0.19
12,150,15.48019862,650.983026,0.203339726,2.33,0.6
12,150,28.44442873,553.0831757,1.558937899,2.13,0.58
29,150,14.28832005,0.903,0.0339,39.43,3.47
29,150,26.30349827,16.77871304,2.546809342,72.22,22.36
29,150,205.8656384,39.66544129,1.833432712,96.65,6.39
29,150,826.257961,419.0654631,0.0339,2.99,0.005
29,150,81.86471012,80.4005371,0.0339,2.34,0.24
29,150,74.35552035,1083.397921,0.0339,2.52,0.54
29,150,142.9000582,137.6469323,0.0339,2.08,0.07
29,150,212.7756626,134.1397382,0.0339,2.08,0.07
29,150,64.19103935,395.9679855,0.0339,2.24,0.12
29,150,105.4294298,928.4232828,0.0339,2.67,0.31
29,150,48.95722309,1188.973611,0.0339,1.65,0.1
29,150,14.3515288,725.2376479,0.0339,1.99,0.09
29,150,0.324734547,0.903,0.0339,4.67,0.68
29,150,0.113512244,0.903,0.067779909,10.79,0.74
29,150,0.028378061,0.903,0.0339,12.49,1.34
29,150,0.028378061,0.903,0.0339,19.36,1.07
29,150,0.056756122,0.903,0.0339,29.04,1.96
29,150,0.113512244,0.903,0.067779909,24.54,0.005
29,150,0.028378061,3.611326405,2.033397259,27.07,3.22
29,150,0.028378061,0.903,0.0339,24.43,1.08
