TANK,FLUCT,Cer_ug,Sca_ug,e_chl,i_chl
63,150,0.045,733.6409225,1.22,0.06
63,150,3.285069405,601.5906408,0.97,0.11
63,150,0.045,427.568735,0.97,0.11
63,150,28.07631822,256.3849049,3.51,0.61
63,150,124.5594375,321.4171506,1.76,0.71
63,150,52.60408684,132.089267,5.72,6.25
63,150,178.6722701,82.9076544,2.97,0.42
63,150,259.4150909,53.11846039,1.69,0.12
63,150,282.6116412,84.74702584,1.63,0.18
63,150,204.6990648,0.0284,1.8,1.03
63,150,562.0338854,86.21241473,1.91,0.46
63,150,441.1089502,87.2701057,3.11,0.42
63,150,303.3468194,59.07271807,2.42,0.38
63,150,587.0886144,89.08630161,3.76,1.01
63,150,642.970862,214.8820917,3.08,0.07
63,150,391.769469,132.366595,3.69,0.2
63,150,984.2013716,112.516175,8.19,1.1
63,150,1135.769389,113.6138992,22.88,1.96
63,150,1171.67288,113.5506904,36.49,2.42
63,150,602.8937585,150.205399,62.52,0.46
63,150,144.8944044,60.76986983,68.5,9.73
79,113,0.0339,0.0284,98.1,3.31
79,177,0.0339,0.0284,236.44,10.22
79,139,0.0339,0.649469093,221.98,53.2
79,104,0.0339,1.030959762,32.93,4.41
79,171,3.285069405,0.649469093,56.24,19.4
79,134,0.410633676,3.644638321,37.31,8.84
79,101,0.410633676,9.46470841,42.17,8.1
79,168,0.0339,292.4624407,42.17,8.1
79,133,37.93152643,2079.092301,1.92,0.005
79,99,50.68630343,2483.05519,1.31,0.18
79,167,0.0339,0.0284,1.03,0.16
79,132,1885.821183,74.55673435,1.16,0.06
79,99,1289.164378,1.816195908,22.82,2.39
79,167,534.125375,12.2077014,1.5,0.06
79,131,867.7658438,39.34739806,2.18,0.12
79,99,574.264513,21.69110894,1.86,0.005
79,167,916.5246442,18.3115521,3.09,0.42
79,131,1206.118273,16.49535619,3.3,0.19
79,99,916.31386,110.2717406,3.33,0.11
79,166,821.6694801,47.79629015,2.59,0.32
79,131,783.6852576,74.55673435,2.96,0.19
79,99,764.5877543,39.09456308,2.44,0.32
79,166,705.456505,469.433943,2.42,0.23
79,131,425.1530077,45.8162785,2.98,1.99
79,99,1043.617589,24.74303429,3.47,5.08
79,166,591.4081652,25.87815673,3,0.32
82,161,0.045,68.51898933,53.08,1.75
82,120,0.045,519.7591069,23.12,0.47
82,207,0.045,2132.366642,5.42,0.005
82,153,0.045,1923.992955,2.56,0.005
82,114,0.045,1152.048612,3.85,0.44
82,203,9.855208214,962.4268118,15.51,1.66
82,150,26.94616439,744.6697854,39.85,8.2
82,112,175.5834054,99.46621934,39.85,8.2
82,201,84.75796388,0.227024489,1.75,0.24
82,148,134.7620298,0.227024489,2.35,0.49
82,111,186.6263233,11.88006991,1.75,0.2
82,188,430.8418934,30.97330248,1.3,0.19
82,148,281.893336,40.5831275,1.76,0.005
82,111,135.1690186,69.2603746,1.36,0.7
82,188,102.4500647,179.6843432,1.55,0.1
82,148,0.045,10.94036759,2.86,0.005
82,110,0.045,0.649469093,5.37,0.39
82,188,0.410633676,0.056756122,14.85,1.27
82,148,0.45552775,0.0284,49.69,2.78
82,110,0.045,0.649469093,44.73,3.23
82,188,0.045,0.649469093,34.47,0.71
82,148,0.045,0.324734547,45.67,357.18
82,110,0.045,0.0284,19.76,2.45
82,200,0.045,0.056756122,15.33,157.4
82,166,0.045,0.0284,124.93,1520.9
82,131,0.045,0.0284,44.75,62.28
85,150,0.045,195.1561129,156.51,34.77
85,150,0.045,549.5340782,151.45,2.76
85,150,0.045,1570.345693,5.8,0.32
85,150,0.045,766.5236621,2.29,0.005
85,150,0.045,19.62629247,1.95,0.005
85,150,1.231901027,8.36119034,7.82,1.36
85,150,2.27763875,11.06968202,71.46,18.17
85,150,7.082519684,279.0641782,71.46,18.17
85,150,145.6440486,374.0014956,1.37,0.21
85,150,65.33251582,125.1057638,4.29,0.29
85,150,94.69707598,96.60392023,30.67,16.94
85,150,230.1559228,124.3988799,1.19,0.42
85,150,130.1672303,158.5737007,1.77,0.81
85,150,373.2526465,81.74672147,1.26,1.05
85,150,232.1000542,96.75351324,1.67,0.11
85,150,384.5541848,41.08879746,6.24,0.005
85,150,289.7849734,69.99306905,3.31,1.68
85,150,322.2238189,52.13556593,6.27,0.51
85,150,1765.029275,164.6543759,3.46,0.31
85,150,425.9933333,58.90047348,2.29,0.81
85,150,472.8080022,102.3645992,2.95,0.33
85,150,774.4166145,122.1892088,4.91,0.21
85,150,521.8458867,97.30105785,7.12,0.78
85,150,278.8190507,120.4807312,12.67,1.92
85,150,286.2929553,57.87886328,29.57,1
85,150,605.9694493,54.87724143,33.77,5.85
91,113,0.045,19.4840728,116.91,11.31
91,177,0.045,64.41095247,206.97,17.3
91,139,0.045,75.98498696,95.61,0.005
91,104,0.045,720.6657634,24.01,0.005
91,171,0.045,809.6609499,5.52,1.49
91,134,0.045,547.8116475,1.29,0.27
91,101,0.045,483.7106753,1.43,0.1
91,168,9.855208214,590.8894094,1.43,0.1
91,133,31.00223503,315.9864685,1.57,0.26
91,99,79.34918675,418.6373485,1.29,0.26
91,167,217.2167097,97.00634822,1.64,0.05
91,132,0.045,4.886820385,7.58,2.03
91,99,1.732322851,0.0284,19.29,0.86
91,167,0.045,0.056756122,64.24,4.56
91,131,0.045,0.0284,46.91,0.76
91,99,0.045,0.0284,30.61,0.22
91,167,0.410633676,0.0284,95.53,8.07
91,131,0.045,0.0284,68.05,0.61
91,99,0.089788149,0.762981337,53.53,6.23
91,166,0.045,0.324734547,95.99,6
91,131,0.045,0.0284,66.69,8.78
91,99,0.045,0.0284,64.92,3.6
91,166,0.045,0.0284,100.37,6.27
91,131,0.410633676,0.0284,83.84,6.18
91,99,0.410633676,0.0284,60.31,0.76
91,166,0.045,0.0284,107.99,10.33
