TANK,FLUCT,Cer_ug,Sca_ug,Clad_ug,e_chl,i_chl
37,150,0.0224,7.273474456,0.0339,27.18,4.34
37,150,0.0224,7.995501857,0.067779909,12.17,2.21
37,150,0.134682224,11.29960345,2.635668673,7.61,1.49
37,150,0.0224,0.0284,0.0339,2.99,0.52
37,150,0.0224,0.0284,0.0339,2.99,0.52
37,150,428.1843166,0.0284,5.151273056,4.62,0.99
37,150,183.1401894,1.298938186,11.92926392,16.56,1.17
37,150,225.0750904,0.0284,10.84478538,40.74,27.06
37,150,198.128926,1.752987163,14.36934063,23.55,0.005
37,150,524.7347114,0.0284,13.04591746,3.12,0.06
37,150,388.3370556,0.0284,18.56483516,12.53,1.43
37,150,594.8651401,0.0284,68.99545509,6.82,2.51
37,150,809.8174444,0.0284,67.00464448,14.15,2.24
37,150,1011.169024,0.0284,128.3640391,17.94,3.4
37,150,519.6344397,5.195752746,262.6903423,40.25,34.83
37,150,1621.57902,0.0284,464.9669008,63.58,6.93
37,150,571.1902277,0.0284,235.5932824,102.75,4.93
37,150,636.0581989,0.0284,3078.676455,114.99,8.87
37,150,486.6977929,0.0284,61.22595885,115.09,8.66
37,150,319.9829505,0.0284,105.6252289,131.93,4.84
37,150,80.48420041,0.0284,82.88572251,154.6,5.62
37,150,0.0224,0.0284,241.8529214,177.68,5.52
37,150,4.927604107,0.0284,43.10802189,92.57,10.56
50,150,0.821267351,3.603684385,0.0339,52.28,2.1
50,150,0.0224,1.355694309,1.477229419,19.39,8.05
50,150,0.45552775,0.324734547,14.9468018,65.38,24.25
50,150,0.0224,0.0284,0.0339,52.23,16.47
50,150,0.0224,0.0284,0.0339,52.23,16.47
50,150,9.855208214,0.0284,43.86176658,36.88,10.59
50,150,3.285069405,0.0284,131.8081569,34.85,4.22
50,150,32.85069405,5.195752746,41.08622023,6.37,0.36
50,150,34.85238134,0.0284,32.8164794,36.65,3.2
50,150,4.927604107,0.0284,15.04027991,31.59,3.69
50,150,1.642534702,0.0284,20.95783332,69.45,7.74
50,150,0.0224,0.0284,53.75077344,46.59,10.76
50,150,0.0224,0.0284,71.31038363,74.08,25.52
50,150,0.0224,0.0284,51.36641101,16.24,0.4
50,150,3.285069405,0.0284,75.8413478,18.3,3.07
50,150,0.0224,0.0284,365.952868,96.96,13.68
50,150,9.855208214,0.0284,76.74259599,77.7,5.47
50,150,0.0224,0.0284,30.37640269,64.03,8.94
50,150,2.181263597,0.0284,25.23258141,59.11,11.46
50,150,4.921017102,0.0284,42.31087243,79.04,26.39
50,150,2.598484277,0.0284,17.81396332,68.6,43.38
50,150,8.847777559,0.0284,116.4537006,108.64,23.18
50,150,19.71041643,0.0284,79.61348341,109.29,21.03
53,150,0.0224,0.762981337,0.0339,28.15,57.48
53,150,0.0224,0.551759035,0.406679452,63.07,0.16
53,150,0.044894075,0.324734547,0.753622746,50.92,3.41
53,150,0.0224,0.0284,0.0339,18.61,1.53
53,150,0.0224,0.0284,0.0339,18.61,1.53
53,150,3.285069405,0.0284,404.3043526,1.88,3.23
53,150,133.5576918,0.0284,340.6237615,9.91,0.005
53,150,539.7234481,0.0284,186.086266,8.53,0.65
53,150,1244.418672,0.0284,92.12106153,25.97,0.84
53,150,849.5974299,0.0284,53.71386264,56.39,1.37
53,150,16.01349839,0.0284,53.13944837,81.45,10.54
53,150,834.0720132,0.908097954,317.994012,116.81,10.35
53,150,277.0232878,0.0284,218.2548577,128.88,3.32
53,150,158.2962445,0.0284,250.7932534,172.63,15.77
53,150,41.96124905,0.0284,28.70142238,186.9,8.41
53,150,469.7552052,0.0284,152.6015633,210.97,16.59
53,150,1029.212607,1.816195908,1095.229725,196.82,13.01
53,150,276.453351,0.0284,91.58119016,181.79,0.005
53,150,160.963541,0.0284,150.9870331,155,6.19
53,150,62.15769833,0.0284,42.0247273,165.48,4.8
53,150,113.2821984,0.0284,73.15013889,169.02,10.86
53,150,144.2844334,0.0284,122.4986482,187.11,23.86
53,150,135.3798028,0.0284,205.9328778,190.08,14.25
1,104.3847445,1.687428777,1.087715884,0.311865448,53.03,14.67
1,170.5697745,0.0224,1.144472006,0.0339,231.23,35.28
1,134.4390019,0.0224,0.0284,0.0339,156.38,35.72
1,100.8786188,0.0224,0.0284,0.0339,47.93,5.85
1,168.0535889,0.0224,0.0284,0.0339,47.93,5.85
1,132.5093683,3.740597155,0.324734547,0.067779909,7.15,1.42
1,99.4938092,0.821267351,0.324734547,0.230822766,3.04,1.91
1,167.0597745,0.0224,0.0284,0.0339,40.64,25.74
1,131.7472236,0.0224,0.0284,0.0339,3.66,13.82
1,98.94685291,0.410633676,0.0284,0.903875653,10.35,0.59
1,166.6672491,0.0224,0.0284,0.0339,118.22,27.3
1,131.4462004,0.0224,0.0284,0.705222521,29.9,16.65
1,98.73082234,1.276795101,0.0284,0.0339,23.96,1.25
1,166.5122138,0.0224,0.0284,0.135559817,117.11,21.07
1,131.3273057,0.0224,0.649469093,0.0339,73.72,7.78
1,98.64549705,0.0224,0.0284,0.074890042,78.8,11.6
1,166.4509798,0.0224,0.0284,0.142669951,162.85,4.39
1,131.280346,0.0224,0.056756122,0.0339,142.27,3.91
1,98.61179624,0.0224,1.793941099,0.56356967,81.45,33.84
1,166.4267943,0.0224,0.0284,0.142669951,134.67,1.71
1,131.2617984,0.0224,0.324734547,0.163042858,194.75,19.38
1,98.59848548,0.0224,0.0284,1.640470799,209.83,12.91
1,166.4172417,0.0224,0.0284,0.455492893,364.1,3.34
68,152.9372674,2.82295465,0.0284,0.338899543,17.64,1.24
68,114.1539759,7.288444002,0.495002913,51.24130461,16.09,4.16
68,202.5345809,9.057858964,8.31088684,195.6933557,2.39,0.19
68,149.747694,0.0224,0.0284,0.0339,1.55,0.29
68,111.8649653,0.0224,0.0284,0.0339,1.55,0.29
68,200.7791652,219.6614534,72.18588246,17.72605138,3.17,1.42
68,148.4879127,224.8213299,87.54611621,26.17108848,2.61,0.52
68,110.960878,773.0160718,193.6566195,219.0646647,2.24,0.09
68,188.2403208,635.1291096,71.17717751,199.544051,2.98,0.5
68,147.9903386,2533.372265,62.34903295,141.4372585,3.9,0.45
68,110.6037919,1606.158996,48.8308056,56.39288399,10.85,0.39
68,187.9840565,1254.857634,63.50996588,31.56363975,8.53,1.41
68,147.7938125,818.5951948,78.06270867,24.57141032,7.47,2.47
68,110.4627541,408.6174088,47.79629015,20.71885437,11.55,4.59
68,187.8828401,163.2238486,23.21707161,12.56824141,48.62,3301.85
68,147.7161908,217.6861142,67.01594021,37.31422404,43.02,2309.27
68,110.4070486,91.36417037,105.1908176,11.1842027,40.54,0.65
68,187.8428628,30.61673441,59.94078281,21.67067774,37.61,5.35
68,147.6855327,19.65772039,121.723572,14.21011403,41.98,58.19
68,110.3850467,239.8003469,72.08527546,32.15528368,50.44,807.53
68,199.6442328,328.6553089,27.59374564,33.5544772,63.87,452.96
68,166.4200324,410.0013231,114.6858129,23.99886141,67.05,962.48
68,131.2566128,319.2646454,41.23839048,3.852555954,80.2,4095.94
77,104.3847445,0.0224,46.47285896,3.148011723,25.78,3.04
77,170.5697745,1.642534702,237.2337335,11.23644872,12.71,0.93
77,134.4390019,0.0224,645.9041321,87.72263267,1.57,0.18
77,100.8786188,0.0224,0.0284,0.0339,1.12,0.2
77,168.0535889,0.0224,177.8668298,0.948918721,1.12,0.2
77,132.5093683,168.4793975,61.40353674,35.24555249,29.6,2.53
77,99.4938092,1445.200314,28.70305759,30.36539907,18.01,3.03
77,167.0597745,1605.354738,26.23159871,101.9409826,1.61,0.05
77,131.7472236,507.2319066,32.99071238,44.46362007,1.63,1.37
77,98.94685291,788.9241781,54.68182132,84.58932598,2.11,0.14
77,166.6672491,441.1089502,21.69110894,28.19644199,2.07,0.72
77,131.4462004,515.7461768,65.98142476,47.71705568,2.92,0.08
77,98.73082234,69.47249035,8.991960306,4.880153422,2.9,0.09
77,166.5122138,212.5789338,0.0284,1.355598173,7.37,10.64
77,131.3273057,120.6101644,0.0284,2.168957076,8.11,0.58
77,98.64549705,309.3899978,0.0284,28.19644199,16.74,0.71
77,166.4509798,143.4343882,0.0284,23.31628857,23.05,0.85
77,131.280346,466.7502443,0.0284,13.82710136,23.61,83.79
77,98.61179624,204.7995971,0.0284,23.85852784,48.81,4464.82
77,166.4267943,14.67985016,0.324734547,1.220038355,50.21,1220.26
77,131.2617984,45.41272074,4.414072281,6.371311412,79.5,5528.78
77,98.59848548,236.4937893,9.382800538,5.693512325,66.99,1784.97
77,166.4172417,140.2020148,6.557899677,11.65814429,50.98,748.3
