TANK,Cer_ug,Sca_ug,e_chl,i_chl
6,0.045,359.4848336,9.45,0.11
6,0.045,530.224885,26.31,1.73
6,0.045,6080.404477,3.25,0.19
6,0.045,487.1934741,1.19,0.37
6,0.045,2289.288502,1.19,0.37
6,1.642534702,244.5875364,1.36,0.01
6,12.21604811,372.0304367,1.48,0.25
6,31.36138762,397.3539375,1.64,0.39
6,82.22240752,372.3812437,5.78,2.99
6,155.7821764,111.0534211,1.56,0.33
6,142.5209027,21.64080544,4.9,0.005
6,158.0376242,37.73241615,5.25,2.32
6,322.5302754,122.479442,4.05,0.73
6,182.4121645,134.9399784,2.98,0.39
6,217.7242307,97.00634822,5.35,0.47
6,88.87159038,72.33811044,9.67,1.39
6,64.33410209,69.86888976,27.61,12.54
6,57.02173999,107.3217397,45.34,3.43
6,95.13284272,73.54934688,68.85,3.12
6,37.90517841,39.41640069,182.62,9.48
6,16.84793975,45.86078812,215.79,15.25
6,14.31411056,62.65572711,382.77,22.51
6,10.16287973,10.99067108,358.63,21.41
9,0.045,2472.898105,9.5,0.89
9,0.045,236.7227936,1.16,0.07
9,3.509539777,50.65569233,17.02,1.46
9,40.6251709,367.3661644,18.73,0.005
9,515.54921,1056.092589,18.73,0.005
9,166.937395,173.8939012,3.33,0.63
9,84.89456381,228.4661628,4.56,0.71
9,157.5779393,396.0950325,162.44,68.79
9,415.6520922,242.3378321,2.93,1.32
9,413.5498727,67.77444515,36.65,20.1
9,193.4023864,252.2610659,2.36,0.005
9,260.7463092,79.20046608,4.17,1.09
9,356.3100588,143.7217719,7.96,1.12
9,160.3984641,84.14338385,11.44,1.6
9,105.7829703,14.93199526,15.46,1.25
9,125.4885269,45.32483127,39.3,1.27
9,78.46326431,7.929396172,56.1,3.27
9,107.9403158,10.9245654,45.02,2.42
9,84.60959543,17.56147601,50.67,0.31
9,59.62924119,22.60565951,56.6,3.52
9,46.89959725,27.2309541,44.23,2.55
9,128.3175563,20.85267235,58.96,13.47
9,209.5200619,6.23316513,8.76,47.99
23,0.410633676,173.1858346,59.96,0.9
23,0.045,205.3870964,53.58,0.005
23,0.045,269.0982763,32.3,0.92
23,4.362527193,953.8104211,35.18,0.27
23,61.00119648,2262.916771,35.18,0.27
23,29.22015826,45.09135416,26.45,3
